State rank,State or territory,Median home price in US$[1]
1,Hawaii,"$636,451"
â€”,District of Columbia,"$626,911"
2,California,"$554,886"
3,Massachusetts,"$422,856"
4,Washington,"$409,228"
5,Colorado,"$397,820"
6,Oregon,"$361,970"
7,Utah,"$348,376"
8,New Jersey,"$335,607"
9,New York,"$321,934"
10,Maryland,"$308,041"
11,Nevada,"$301,753"
12,Alaska,"$300,889"
13,Rhode Island,"$300,808"
14,New Hampshire,"$290,163"
15,Idaho,"$285,982"
16,Virginia,"$285,229"
17,Montana,"$277,801"
18,Arizona,"$268,765"
19,Minnesota,"$256,857"
20,Connecticut,"$255,555"
21,Vermont,"$254,234"
22,Delaware,"$254,108"
23,Wyoming,"$250,890"
24,Florida,"$245,169"
25,Maine,"$242,316"
26,North Dakota,"$235,012"
27,Texas,"$207,301"
28,South Dakota,"$205,567"
29,New Mexico,"$203,675"
30,Illinois,"$202,675"
31,North Carolina,"$202,215"
32,Wisconsin,"$202,029"
33,Georgia,"$201,294"
34,Pennsylvania,"$194,603"
35,Tennessee,"$185,922"
36,South Carolina,"$185,749"
37,Nebraska,"$175,884"
38,Michigan,"$173,277"
39,Louisiana,"$166,565"
40,Missouri,"$162,464"
41,Indiana,"$155,640"
42,Iowa,"$152,885"
43,Kansas,"$150,657"
44,Ohio,"$150,374"
45,Kentucky,"$146,871"
46,Alabama,"$138,975"
47,Oklahoma,"$128,934"
48,Arkansas,"$128,101"
49,Mississippi,"$126,502"
50,West Virginia,"$108,236"
