"State","disasters","Pop"
"Alabama","82","4949697"
"Alaska","55","720763"
"Arizona","68","7640796"
"Arkansas","71","3042017"
"California","284","39664128"
"Colorado","80","5961083"
"Connecticut","31","3546588"
"Delaware","21","998619"
"Florida","130","22177997"
"Georgia","65","10936299"
"Hawaii","45","1401709"
"Idaho","44","1896652"
"Illinois","60","12518071"
"Indiana","48","6842385"
"Iowa","63","3174426"
"Kansas","70","2919179"
"Kentucky","74","4487233"
"Louisiana","79","4616106"
"Maine","56","1359677"
"Maryland","32","6075314"
"Massachusetts","47","6922107"
"Michigan","37","9995212"
"Minnesota","60","5739781"
"Mississippi","72","2961536"
"Missouri","69","6184843"
"Montana","68","1093117"
"Nebraska","62","1960790"
"Nevada","73","3238601"
"New Hampshire","49","1378449"
"New Jersey","50","8870685"
"New Mexico","83","2109093"
"New York","95","19223191"
"North Carolina","59","10807491"
"North Dakota","58","774008"
"Ohio","54","11727377"
"Oklahoma","173","4007179"
"Oregon","79","4325290"
"Pennsylvania","59","12805190"
"Rhode Island","22","1062583"
"South Carolina","30","5342388"
"South Dakota","64","902542"
"Tennessee","69","7001803"
"Texas","255","30097526"
"Utah","34","3363182"
"Vermont","45","622882"
"Virginia","64","8638218"
"Washington","136","7887965"
"West Virginia","68","1755715"
"Wisconsin","47","5867518"
"Wyoming","32","582233"